																															Class	IC0	IC3	IC4	IC5	IC6	IC7	IC8	IC9	IC10	IC11	IC00	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC010	IC011	REF	REF	REF	Blank	WWTP Voja Bef	WWTP Hall Bef	WWTP Voja Aft	WWTP Sand Aft	WWTP Hall Aft	CSTR 37 Bef	CSTR 37 Aft	CSTR 52 Bef	CSTR 52 Aft	QC	Bl2 contam
																															File type	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Sample	Sample	Sample	Blank	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	QC	Sample
																															Injection order	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Alignment ID	Average Rt(min)	Average RI	Average Mz	Metabolite name	Fill %	Reference RT	Reference RI	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	RI matched	EI-MS matched	Comment	Tag1	Tag2	Manually modified for quantification	Manually modified for annotation	Total score	RT similarity	RI similarity	Total spectrum similarity	Simple dot product	Weighted dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	EI spectrum	AKD_SEDI_A02-IC0_Cal0	AKD_SEDI_A03-IC3_Cal0-1	AKD_SEDI_A04-IC4_Cal0-25	AKD_SEDI_A05-IC5_Cal0-5	AKD_SEDI_A06-IC6_Cal1	AKD_SEDI_A07-IC7_Cal2	AKD_SEDI_A08-IC8_Cal5	AKD_SEDI_A09-IC9_Cal10	AKD_SEDI_A10-IC10_Cal20	AKD_SEDI_A11-IC11_Cal50	AKD_SEDI_A02-IC00_Cal0	AKD_SEDI_A03-IC03_Cal0-1	AKD_SEDI_A04-IC04_Cal0-25	AKD_SEDI_A05-IC05_Cal0-5	AKD_SEDI_A06-IC06_Cal1	AKD_SEDI_A07-IC07_Cal2	AKD_SEDI_A08-IC08_Cal5	AKD_SEDI_A09-IC09_Cal10	AKD_SEDI_A10-IC010_Cal20	AKD_SEDI_A11-IC011_Cal50	AKD_SEDI_A14-REF1	AKD_SEDI_A15-REF2	AKD_SEDI_A16-REF3	AKD_SEDI_A17-BL1	AKD_SEDI_A18-P25	AKD_SEDI_A19-P27	AKD_SEDI_A20-P28	AKD_SEDI_A21-P29	AKD_SEDI_A22-P30	AKD_SEDI_A23-P37	AKD_SEDI_A24-P39	AKD_SEDI_A25-P41	AKD_SEDI_A26-P43	AKD_SEDI_A27QC1	AKD_SEDI_A29BL2
1	5.764	1171.81	122.03628	"2,6-Dimethylphenyl acetate"	0.12	-1	1211	C10H12O2	null	null	null	340	FALSE	TRUE	TRUE				FALSE	FALSE	0.693	-100	63.1	0.8	0.657	0.882	0.749	26.9	59635770	AKD_SEDI_A24-P39	100.07575:1965624 101.05976:4 103.07542:347841 104.02573:84408 104.06212:96939 104.98267:137377 105.03356:483433 105.06995:479514 105.99049:58720 106.03689:232363 106.96254:166994 107.04919:1577024 107.08556:541461 109.07614:1467085 109.10120:107278 110.06003:148769 110.09652:148084 112.60110:58611 113.05974:89587 114.09142:246425 118.99786:78563 122.03628:56583244 122.06194:672161 122.09650:5330710 123.08048:701852 125.07902:113607 128.06201:295674 129.06989:206815 131.08560:5835 133.04707:36955 133.10121:43524 137.04182:125055 149.04500:133941 149.06259:69588 151.08656:1871223 152.08992:152520 157.04039:44393 164.98549:11357 176.98538:81733 191.00110:196819 197.07816:44617 211.06035:131636 218.02722:47774 221.08438:183267 253.01660:9935 265.01984:91367 266.01889:32741 325.05667:52552 327.03561:151198 339.33401:43858 341.01791:105843 341.15714:73245 355.06985:30709 401.05478:103020 406.45120:49809 415.10623:35215 421.56085:302912 421.59668:364045 505.88144:56787 507.76297:61300 512.81091:49319 515.50183:50783 529.78125:52229 639.14716:65227 746.47778:50937	35852	37937	30657	48624	31828	40390	27138	39057	29266	17182	35852	37937	30657	48624	31828	40390	27138	39057	29266	17182	36866	19018	19479	196723525	34522286	35096869	17234822	1180400	95812090	12922056	454433223	28348811	261854368	91851893	18760040
2	5.764	1171.88	222.1406097	Unknown	0.04	null	null	null	null	null	null	999	FALSE	FALSE	FALSE				FALSE	FALSE	null	null	null	null	null	null	null	0	3834.06	AKD_SEDI_A02-IC0	100.11203:1527 102.04649:3804 102.96669:3461 103.05431:2487 103.46636:716 103.97436:2854 104.98235:811 105.06996:2365 107.04921:4171 108.05701:592 108.08085:1951 108.09339:2200 109.10126:5554 110.01517:1097 110.19872:831 112.08839:3036 112.12021:1429 114.06758:151 115.05430:7570 115.55197:858 116.47016:1036 117.28682:839 118.06515:2725 118.07334:4261 119.08130:1759 119.54266:176 120.05710:231 120.08086:2536 121.10125:7840 122.10905:5815 123.02644:1554 123.08051:2447 123.11687:3295 125.03854:1185 125.98770:4254 127.05435:6640 127.14813:1486 130.07780:3859 130.99173:1574 131.03439:2719 131.08562:4550 132.08095:4777 132.92299:1345 133.01364:3513 133.06491:12923 133.10127:1269 134.01324:352 134.05475:1624 134.10902:680 135.06252:18030 137.13258:1724 138.14035:2996 139.05428:6193 142.07780:5736 144.08089:5222 144.09344:678 145.06490:1578 145.10123:3617 145.93103:1048 148.06525:2634 148.12474:870 148.95424:291 150.14040:2031 152.32100:976 156.09340:699 157.08876:4034 158.07285:2325 158.10907:2566 160.05191:4830 160.11198:4528 160.12473:1339 161.13248:3356 164.15172:363 165.06990:2248 166.75439:907 167.08554:878 170.09648:743 170.10904:3553 171.01097:634 171.09186:1369 171.11687:6204 172.12471:2086 173.09596:96 173.13260:194 175.07526:3184 175.11203:1678 175.14812:1284 175.97746:499 177.05502:712 177.16377:635 177.95663:1138 179.00121:971 179.96419:417 180.96161:1960 181.10124:2510 183.03612:137 183.11679:1849 184.08818:15 186.12766:1309 188.98534:1535 189.02171:1330 189.16385:936 190.17180:583 192.09335:4027 192.98033:8914 193.10121:2627 193.98001:5943 194.01637:2559 194.09653:1015 194.99596:2223 195.99585:1357 196.97534:954 197.07805:5063 200.15587:47 201.04665:823 203.00114:980 204.08089:602 204.23615:880 205.05324:502 206.01660:2317 208.10052:1219 209.13251:255 210.10387:2783 211.14839:2175 212.15616:1499 215.08540:872 216.09375:2435 217.19537:1008 218.09686:2319 218.20308:1766 219.21088:1877 222.08405:3066 222.14061:3065 223.08130:712 223.14853:1801 225.04297:3109 225.07619:221 226.07739:955 228.09377:1493 232.12488:448 236.95195:2264 240.09381:1430 251.03751:3275 252.98351:4314 253.05318:2001 253.08641:2979 254.05489:996 260.25052:1052 265.08881:2757 271.02710:61 278.09644:1134 279.07224:2409 281.01511:1004 285.00980:654 305.12106:1154 308.38138:1034 323.00769:987 327.96637:1138 328.96304:1025 341.05142:1654 341.15762:900 342.08966:2381 357.06711:399 387.00244:824 399.00540:287 401.98529:1682 415.03711:675 416.10852:1150 420.05569:5094 420.07260:8145 429.08765:1694 473.09497:1162 598.25110:925 603.24969:1025 628.18030:925	5236	3518	1134	1607	874	727	0	1604	666	0	5236	3518	1134	1607	874	727	0	1604	666	0	0	514	0	0	0	11225	0	5897	0	0	0	0	7008	0	0
3	5.764	1171.89	115.0754318	Unknown	0.08	null	null	null	null	null	null	999	FALSE	FALSE	FALSE				FALSE	FALSE	null	null	null	null	null	null	null	0	3278537	AKD_SEDI_A22-P30	100.07574:67165 101.05978:4609829 101.54418:13287 102.06306:278316 102.96671:38050 103.05428:11149 103.07539:32439 104.06213:4948622 104.98268:130244 105.99051:32009 106.06517:186241 106.97843:14947 107.03115:865347 110.09647:83815 111.06797:198129 114.09142:1705589 115.07543:2991845 115.97485:10173 116.02898:96661 116.06214:35120 116.07880:90665 116.98267:10876 117.06994:6879 118.07772:120875 118.99797:14554 119.08561:41105 120.00644:60120 120.74515:11777 121.00156:75039 121.04685:56303 121.10119:89269 123.11699:8777 124.07575:270128 125.02939:10387 126.04650:29729 127.07542:109243 127.14824:11664 130.06529:22648 131.08560:10343 133.04996:76293 134.01324:6973 134.05461:5307 135.06252:57040 135.10432:64495 136.10771:19806 139.05394:13366 139.09935:49560 141.06992:24643 141.39104:13274 142.08632:842177 143.08551:107960 144.09349:53218 145.04694:9750 145.10133:26846 146.10876:19885 146.93855:7944 147.06563:37614 147.11681:13370 148.00119:69862 148.06538:55532 148.12479:24018 148.95398:32119 148.99080:33411 149.04491:29328 149.06259:34787 151.02428:33963 151.05730:62875 151.14804:27384 152.06213:11723 154.07761:52527 156.13383:31625 157.10138:41477 159.11691:7326 160.95427:19470 161.02379:11522 161.13255:11494 163.00314:40107 163.14821:22443 164.98557:10534 165.06978:24130 167.08540:1733 167.64877:10917 168.09366:14697 169.10135:33654 171.11697:52478 175.03957:23785 177.05530:21312 178.07788:40687 179.00116:17442 179.03435:24577 179.08554:24797 181.10141:12470 189.02193:6818 191.00102:64022 191.03752:15002 192.00063:32551 192.07866:70140 192.98039:9650 193.01680:16994 193.04996:90553 194.01620:39555 194.05397:49173 195.04671:73615 196.05592:12163 197.07864:11804 197.13240:47432 202.92764:10892 205.01671:23334 207.06558:35249 207.10196:28191 208.10632:49941 209.02916:67781 209.09875:35459 210.01088:15228 211.00734:18550 215.17949:7345 220.15910:11897 222.08391:6716 223.00948:33501 225.98462:12277 237.05438:7605 248.98859:10066 250.96812:57431 251.00394:43777 253.01660:20266 253.08658:22464 265.01993:28522 266.99930:8536 267.03540:41538 268.03683:17185 269.04822:9188 281.05127:67604 281.08655:14163 282.05023:4655 285.00504:12504 311.00491:5541 313.05316:12053 324.98676:5299 325.98666:22040 326.96594:30815 327.03555:31540 327.10574:22679 329.03271:25523 330.04388:11734 341.01794:12239 341.15729:26664 342.01865:19812 343.01517:7209 344.01389:13369 355.07019:2143 355.13882:25745 356.07019:9030 385.02420:17842 387.00226:8287 387.07239:8185 400.98569:36625 401.05457:21140 403.05182:19497 415.03674:27237 415.10687:14827 417.10437:36960 421.63229:50171 431.08734:28891 461.09021:67303 475.14285:4737 489.12598:11497 490.12613:10018 549.16254:17468 733.00873:12945	1569382	1078300	592629	2098457	1286266	1238362	1375261	583990	1068563	1507041	1569382	1078300	592629	2098457	1286266	1238362	1375261	583990	1068563	1507041	655141	864122	1092071	11073609	7631769	13571437	10612207	2226733	14253606	16875442	22614725	13759349	30239414	25170143	8549497
4	5.767	1172.16	142.0862885	Unknown	0.08	null	null	null	null	null	null	999	FALSE	FALSE	FALSE				FALSE	FALSE	null	null	null	null	null	null	null	0	515303.2	AKD_SEDI_A29BL2	100.07574:3119 101.51906:4612 103.96618:14312 105.89767:4223 106.06519:15145 106.93542:4675 108.05701:143325 109.05227:5028 110.06009:12584 110.09660:8440 110.99000:5545 111.06793:13781 111.54632:4176 112.01560:15189 112.07570:14990 112.25654:5027 113.05976:9770 114.09143:672227 115.00305:7443 115.05431:156617 115.07545:39624 116.00256:1603 116.04944:26097 116.37762:4565 116.98232:11000 117.06993:12138 119.08559:83101 121.08423:75733 121.10123:88785 122.10909:13730 124.03417:6473 124.07583:23471 124.12477:10122 125.13246:9914 126.04654:18230 127.05430:18812 128.05293:61774 129.01891:7495 133.01364:4185 135.01050:16078 135.10429:52017 137.04181:20951 137.13258:3895 139.14845:6244 142.08630:273094 143.08565:24514 145.04689:30799 145.10120:29128 148.12462:13229 148.76208:4906 148.99075:4399 150.06195:8955 150.37643:4439 152.06207:9459 154.07764:10655 154.98146:15113 155.06039:1629 156.09341:30775 157.04993:19606 157.10124:31820 158.97502:3795 159.11685:24786 160.05179:10189 160.95390:7395 161.13261:1979 161.95363:6168 163.96921:11053 164.15175:11437 164.94908:10323 166.07773:16117 167.03421:11483 167.08553:9257 167.93146:5289 168.09340:12079 170.10883:27021 171.11690:13269 175.14812:8255 176.03896:8478 177.98500:6928 178.02638:9132 178.07777:3905 179.08543:7229 179.17981:5573 179.99995:4612 180.98035:11784 181.10112:8125 182.10471:8402 187.14816:5185 188.98534:10887 189.06990:7484 189.16376:4377 190.02130:10298 190.17183:14894 191.03758:5505 191.07063:25432 191.17932:9026 192.98035:759 193.01680:1875 193.08641:4028 194.01631:1966 194.04948:38488 194.97672:4850 195.01341:16325 195.02927:12262 195.04678:21594 197.07825:14480 197.13257:8018 199.14821:3179 200.04095:6709 202.07767:13516 203.00098:1490 203.08563:2509 206.06117:2521 209.08130:60852 210.08507:14966 213.05766:8461 213.16364:20436 219.11679:10551 219.21010:5973 220.95737:13167 222.08298:21176 222.93651:5801 223.00955:9594 224.08052:13337 225.04300:30951 225.16380:5028 227.17932:19524 229.19518:13961 236.95206:7814 237.02226:12976 237.16399:1949 241.19521:12193 242.19824:1602 246.22972:4965 248.98868:13973 249.05818:2025 249.98767:10182 250.98552:3584 251.07359:9174 251.96709:7830 252.00438:7629 252.03725:16785 253.01682:32746 255.06560:21899 258.23459:11694 260.24997:7364 265.08966:3112 266.01920:20742 267.10211:6290 269.11783:3594 281.05121:38996 281.08569:4753 283.10037:6883 285.04492:10802 309.02521:8952 311.07257:2002 313.05334:11851 323.00787:9248 327.03558:10898 328.10660:9591 339.03857:166 341.08780:2569 343.01486:6467 343.06647:12700 355.13989:9529 357.06689:4108 369.12213:19493 387.00217:4091 387.07190:6803 388.07309:9275 399.07562:1273 402.05533:1359 403.05167:10626 406.76855:4725 412.10086:5088 415.03699:4327 416.03775:2224 416.10651:4562 448.94498:5207 461.02225:13100 462.09421:3610 475.14267:15614 491.12238:4706 518.97614:5998 521.05719:5721 525.14069:5990 536.11139:13702 542.10486:5006 550.16357:1767 552.15698:5940 563.14374:780 564.14655:8632 623.18317:1905 628.47058:5373	480618	567917	251299	274671	333726	126675	165151	226574	312836	155528	480618	567917	251299	274671	333726	126675	165151	226574	312836	155528	105609	86113	143629	455733	1230836	3369908	3907696	1321694	2439317	1843313	3173849	3187336	1810347	2175540	1327801
5	5.776	1173.08	114.09143	Unknown	0.04	null	null	null	null	null	null	999	FALSE	FALSE	FALSE				FALSE	FALSE	null	null	null	null	null	null	null	0	855037.8	AKD_SEDI_A18-P25	100.07574:36161 100.87796:5466 101.95882:5732 102.96671:4836 103.00307:36481 103.05429:25589 104.98268:1965 105.99068:27087 106.07775:41287 106.94758:11749 108.08086:17510 110.06021:14432 110.98992:18705 114.09143:758397 115.60195:5508 116.02901:32751 116.06210:49803 116.23457:4615 116.32771:5785 117.01871:229952 117.99010:3179 118.07774:31857 118.99797:23947 121.10128:14459 124.11213:31007 124.99797:43494 125.08355:83534 125.13255:283 126.04663:2043 127.93184:5564 127.99281:9743 128.02910:49596 129.05716:3557 129.06993:97055 131.03435:20608 131.08562:21060 133.10124:24190 134.01324:23320 135.01053:32806 135.06252:12692 135.33047:5420 139.08643:11720 142.08636:368695 144.08072:5241 145.04684:26818 145.10123:1255 146.05029:9630 146.93846:11475 147.11699:3003 147.93802:5911 148.00116:49666 148.12468:9782 149.04491:21508 149.06250:9212 149.13258:21254 150.04434:39311 153.06989:58650 155.30879:5337 156.04062:5900 156.09338:17399 157.04973:3458 157.10118:34990 159.11678:2905 160.95401:17095 161.02365:20403 161.13246:7273 163.00296:3546 163.03944:26791 163.96936:14479 164.98537:2407 165.01865:5493 165.06989:9542 165.16385:30611 166.07771:6450 166.83003:6796 167.08554:5716 168.08069:8387 169.06432:5011 171.11688:3898 172.12436:12376 175.00600:14095 175.97765:18862 176.98544:18300 177.98494:17956 178.02644:9164 179.08524:17262 179.17957:10195 179.28595:6736 179.96432:7563 180.03380:10945 181.03108:29675 183.11688:2634 184.08759:2389 185.02667:22917 186.03430:6098 189.06969:15926 189.16368:18884 191.03748:5069 191.07065:12031 192.00052:9203 192.98038:329446 193.01680:1627 193.04996:113241 193.08614:1874 193.97968:19646 194.97699:17707 195.04675:30944 197.07823:22381 199.04199:11180 203.00111:17393 205.08623:18967 206.97864:6033 208.06882:9859 209.02914:26517 211.00819:43917 211.11168:7529 212.05933:22175 213.05713:8634 213.16367:15041 222.96960:8908 225.04295:8456 225.07661:3537 226.07758:9058 236.95180:9687 247.00925:10880 249.05806:2073 249.98737:4718 250.96785:1501 250.98538:16909 252.03746:24707 252.98346:25748 253.01678:19230 253.03438:16757 253.08627:5660 255.01341:11413 258.06323:5379 265.02005:21218 265.05371:11155 265.08975:14449 266.01871:2019 267.03607:19936 267.99860:1946 269.04825:32875 269.11823:7881 277.07755:13315 281.12131:8490 283.09985:8438 284.04816:18427 285.09662:11795 309.02496:13596 309.12738:5178 309.95462:5548 311.00385:7969 311.07370:10223 313.05307:14203 314.05359:3383 323.00681:14632 324.98691:257602 325.98648:13030 327.10519:15046 327.96512:8727 328.03613:318361 328.10699:15577 328.96289:19357 329.03268:149069 339.03876:15082 341.08771:15076 341.15714:4876 342.08817:10956 342.15915:2595 343.01474:1843 343.06693:10596 344.01431:13984 358.06604:17804 359.02908:22087 368.99185:14483 369.12164:18861 379.36829:5376 382.97382:9372 383.04291:11125 387.00244:3885 388.00284:5812 388.07303:20138 393.66522:6484 399.00580:10807 399.07516:3640 400.98465:7075 401.12430:78267 401.98410:7566 416.03723:19787 416.10934:8477 417.10416:11141 421.37167:8152 426.65277:5435 431.08582:10335 437.92062:5472 439.42169:6115 447.03830:14655 458.97342:6718 459.04202:5954 460.95087:8593 461.02097:9282 461.16016:4756 462.02017:6465 462.09219:20817 475.14288:25929 476.07275:10326 489.12585:264373 535.10919:25118 536.11145:15926 549.16272:3321 550.16345:134846 560.78998:5926 564.14709:15969 564.80902:5422 595.14752:5785 623.18274:14949 624.18353:7868 661.03223:5520 690.82764:5988 727.88043:5322 747.51392:4958	87343	82591	103088	112727	89606	177434	156544	117615	66624	72731	87343	82591	103088	112727	89606	177434	156544	117615	66624	72731	49295	29032	59881	100194	2251824	2884760	4821266	1402242	4308395	2748976	1961758	5468468	3541636	3246754	1790904
6	5.784	1173.99	537.1082153	Unknown	0.04	null	null	null	null	null	null	999	FALSE	FALSE	FALSE				FALSE	FALSE	null	null	null	null	null	null	null	0	326434.1	AKD_SEDI_A17-BL1	100.07560:7162 101.05975:638416 101.12874:31182 102.04635:44858 105.03349:548018 106.03683:2625 106.07330:99303 108.03461:125663 108.09326:18842 111.08044:107191 113.02364:54930 115.05417:629591 116.00261:46625 116.02892:224288 116.06210:4194 118.07763:49206 121.10107:113536 122.03619:821586 127.05421:10092 130.06517:89312 135.11682:58539 139.05424:33985 141.06989:64187 142.07765:13184 143.08549:27497 144.09335:56943 148.95418:98153 149.13232:52059 153.06993:91709 154.98106:57662 155.06038:8643 157.10129:24026 159.11693:54554 167.59682:32600 179.08530:35215 181.07741:16161 184.87511:35375 194.50436:33037 219.10559:137046 224.98547:67549 225.07661:65946 252.07339:14806 252.96455:16396 263.03979:78981 266.08972:25090 268.03479:70280 281.12012:16902 284.04694:48095 297.10031:79628 310.97086:7712 311.03946:48919 312.00385:27475 312.07489:78256 329.10101:2082 339.10773:12454 343.15384:3335 344.01440:17436 355.06970:214933 356.06979:288108 356.14035:55472 357.13599:102303 358.06638:22623 359.02856:71219 369.12167:23103 370.12222:62619 387.14136:42197 388.99902:44682 395.86874:40355 400.00607:34187 400.98450:51716 403.12143:101383 404.05319:192 415.07126:64372 421.03854:117025 421.07639:43724 426.69846:32472 430.08932:8766 431.00613:43140 447.10681:50862 459.89145:38888 461.16013:72993 466.41110:35631 475.00305:60268 476.00397:57042 477.06967:9629 489.05627:51098 492.12326:73205 503.10721:142088 521.05731:104713 534.97076:39549 536.11127:50195 537.10822:120774 548.93799:37223 552.16351:60150 600.80884:35444 601.68774:38042 610.13000:65107 623.18152:50616 682.80597:35365 687.73236:37692	0	0	0	0	0	0	0	0	962	506	0	0	0	0	0	0	0	0	962	506	0	0	0	1153383	14922	0	20337	43985	8453	18628	0	18790	0	14436	7670
