								Class	Cal0	Cal0	Cal0	Cal0-005	Cal0-005	Cal0-005	Cal0-01	Cal0-01	Cal0-01	Cal0-02	Cal0-02	Cal0-02	Cal0-05	Cal0-05	Cal0-05	Cal0-1	Cal0-1	Cal0-1	Cal0-2	Cal0-2	Cal0-2	Cal0-5	Cal0-5	Cal0-5	Cal1	Cal1	Cal1	Cal2	Cal2	Cal2	Cal5	Cal5	Cal5	Cal10	Cal10	Cal10	Cal20	Cal20	Cal20	Cal50	Cal50	Cal50	Cal100	Cal100	Cal100	no spike	pre 5	post 5	pre 20	post 20
								File type	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Standard	Blank	Sample	Sample	QC	QC
								Injection order	7	8	9	13	14	15	19	20	21	25	26	27	31	32	33	37	38	39	43	44	45	49	50	51	55	56	57	61	62	63	67	68	69	75	76	77	83	84	85	91	92	93	99	100	101	102	103	104	105	106
								Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Reference RT	Reference m/z	Comment	S/N average	Cal0ngmL_human_serum_extracted_1_neg_7	Cal0ngmL_human_serum_extracted_2_neg_8	Cal0ngmL_human_serum_extracted_3_neg_9	Cal0-005ngmL_human_serum_extracted_1_neg_13	Cal0-005ngmL_human_serum_extracted_2_neg_14	Cal0-005ngmL_human_serum_extracted_3_neg_15	Cal0-01ngmL_human_serum_extracted_1_neg_19	Cal0-01ngmL_human_serum_extracted_2_neg_20	Cal0-01ngmL_human_serum_extracted_3_neg_21	Cal0-02ngmL_human_serum_extracted_1_neg_25	Cal0-02ngmL_human_serum_extracted_2_neg_26	Cal0-02ngmL_human_serum_extracted_3_neg_27	Cal0-05ngmL_human_serum_extracted_1_neg_31	Cal0-05ngmL_human_serum_extracted_2_neg_32	Cal0-05ngmL_human_serum_extracted_3_neg_33	Cal0-1ngmL_human_serum_extracted_1_neg_37	Cal0-1ngmL_human_serum_extracted_2_neg_38	Cal0-1ngmL_human_serum_extracted_3_neg_39	Cal0-2ngmL_human_serum_extracted_1_neg_43	Cal0-2ngmL_human_serum_extracted_2_neg_44	Cal0-2ngmL_human_serum_extracted_3_neg_45	Cal0-5ngmL_human_serum_extracted_1_neg_49	Cal0-5ngmL_human_serum_extracted_2_neg_50	Cal0-5ngmL_human_serum_extracted_3_neg_51	Cal1ngmL_human_serum_extracted_1_neg_55	Cal1ngmL_human_serum_extracted_2_neg_56	Cal1ngmL_human_serum_extracted_3_neg_57	Cal2ngmL_human_serum_extracted_1_neg_61	Cal2ngmL_human_serum_extracted_2_neg_62	Cal2ngmL_human_serum_extracted_3_neg_63	Cal5ngmL_human_serum_extracted_1_neg_67	Cal5ngmL_human_serum_extracted_2_neg_68	Cal5ngmL_human_serum_extracted_3_neg_69	Cal10ngmL_human_serum_extracted_1_neg_75	Cal10ngmL_human_serum_extracted_2_neg_76	Cal10ngmL_human_serum_extracted_3_neg_77	Cal20ngmL_human_serum_extracted_1_neg_83	Cal20ngmL_human_serum_extracted_2_neg_84	Cal20ngmL_human_serum_extracted_3_neg_85	Cal50ngmL_human_serum_extracted_1_neg_91	Cal50ngmL_human_serum_extracted_2_neg_92	Cal50ngmL_human_serum_extracted_3_neg_93	Cal100ngmL_human_serum_extracted_1_neg_99	Cal100ngmL_human_serum_extracted_2_neg_100	Cal100ngmL_human_serum_extracted_3_neg_101	human_5ngmL_no_spike_1_neg_14	human_5ngmL_pre_spike_1_neg_16	human_5ngmL_post_spike_1_neg_20	human_20ngmL_pre_spike_1_neg_54	human_20ngmL_post_spike_1_neg_58
10019	11.749	428.97433	1H,1H,2H,2H-perfluoro-1-[13C2]-octane sulfonate (6:2 FTSA)_IS	[M-H]-	11.66	428.97461	IS\notlatePFAS	400308.88	406655168	418883680	392429984	404034976	399193824	396823552	403988704	412777856	414937312	416762240	407545568	395138848	366671264	380872480	397746848	391425024	400672768	386016768	382663840	329939232	347818944	379777920	362747872	397748064	397934656	378394496	367477184	291074912	331347520	349316480	352515168	355472480	361031648	357654720	321556320	328856512	311819008	296917920	299135232	256639360	257990976	273919392	211701984	219731536	202885760	257990976	273919392	211701984	219731536	202885760
4020	9.239	224.98233	2,4-Dichlorophenoxyacetic Acid-13C6_IS	[M-H]-	9.14	224.9823	IS\notlatePFAS	23.5	18036242	17356436	16117077	15933875	17847248	16166719	15382351	16197742	14029145	15583752	13670612	15729549	13134017	13884903	15398749	14357413	16057083	14937911	14776116	14584232	15253280	13164341	13752965	12090590	13187382	14226040	14208445	10239944	13507952	12583134	15756318	11537939	12354780	15719375	14796348	13509691	13210648	14650521	15079283	13850125	12201161	11480211	12740311	11125069	11935353	12201161	11480211	12740311	11125069	11935353
3075	6.808	199.1106	4-Methyl Hippuric Acid-d7_IS	[M-H]-	6.74	199.1106	IS\notlatePFAS	6.06	38331704	36136464	37263704	37549136	35613720	34001296	35165836	37941520	33500670	33437088	32588958	35657972	30368416	30792116	32738472	32761782	34928704	33232538	31831998	31613828	29245012	30471814	29545408	31325844	33469456	33113744	30210990	22666216	30298274	32379094	31841596	30251326	32365676	32769892	30140898	29924384	31454238	31688006	31562272	30938394	31731094	31564784	32148000	29838064	29301256	31731094	31564784	32148000	29838064	29301256
3174	8.767	201.15182	Atrazine-2-hydroxy-d5_IS	[M-H]-	8.67	201.15179	IS\notlatePFAS	12.41	33611392	35510792	33920984	29922698	28762042	27356768	25775692	28259038	24210102	24016468	21333596	21724286	20443794	23181622	22535858	22045458	21652256	17669774	17688734	21034300	17715048	18710524	18418834	18009110	20380056	18649610	18652200	22323812	19702542	18322792	17040776	16499953	19882708	19162300	18621314	17980028	19891886	18203360	18115296	19765916	19086878	18283664	19682192	17243504	13432792	19086878	18283664	19682192	17243504	13432792
7161	9.957	326.97037	Bis(1,3-dichloro-2-propyl) Phosphate-d10_IS	[M-H]-	9.86	326.9704	IS\notlatePFAS	31.96	21147586	20015930	17825618	19465778	20510316	17059738	21164902	24320824	16802242	19518006	19866700	18606880	18841258	18693312	19603046	21125844	16880820	22915450	18771854	18188090	16599374	20845090	21431690	22671486	20550572	15795476	18521270	17012262	17652442	18943260	19290692	18086550	19009962	17391760	21780266	17211870	18566742	20183922	17243978	16093962	20560970	18071084	19042782	18395416	17266912	20560970	18071084	19042782	18395416	17266912
4524	10.92	239.14801	Bisphenol A-13C12_IS	[M-H]-	10.85	239.14799	IS\notlatePFAS	35.3	71424656	75771928	71996072	66142192	66197464	64548020	59303008	64317012	62678216	60325744	55090712	57662084	52638208	55679796	54954752	55047288	50184556	51491996	48327480	49300732	46639568	48633800	46980664	46601656	48421792	48517728	47634676	46736572	45586828	47141836	49128532	50485040	51870648	50093684	49205908	49977436	49576780	47347296	45851568	50439672	50279268	46733976	50289684	48083292	48739416	50279268	46733976	50289684	48083292	48739416
